config,Ir,Dr,D1mr,DLmr,Dw,D1mw,DLmw
merge_real,12354978,1125,1124,4235466,26653,13614,3011573,12833,12617
opt_real,12054974,1124,1123,4035465,14153,13614,3011572,12833,12617
merge_D16384,12354978,1980,1948,4235466,52483,52149,3011573,25633,25592
opt_D16384,12054974,1978,1946,4035465,27484,27150,3011572,25633,25594
merge_D32768,12354978,1980,1948,4235466,52253,52122,3011573,25608,25592
opt_D32768,12054974,1978,1946,4035465,27254,27123,3011572,25608,25594
merge_D65536,12354978,1980,1948,4235466,52123,52089,3011573,25598,25591
opt_D65536,12054974,1978,1946,4035465,27124,27090,3011572,25600,25593
