config,Ir,Dr,D1mr,DLmr,Dw,D1mw,DLmw
soa,17158550,1133,1131,4036448,52453,2191,7811653,100332,74047
aos,12658084,1124,1123,4036238,52433,51308,3011572,25336,24924
soa_D8192,17158550,1989,1946,4036448,103934,102866,7811653,200732,200533
aos_D8192,12658084,1978,1934,4036238,103912,102846,3011572,50728,50582
soa_D16384,17158550,1989,1946,4036448,103274,102869,7811653,200627,200533
aos_D16384,12658084,1978,1934,4036238,103260,102851,3011572,50628,50582
soa_D32768,17158550,1989,1946,4036448,103058,102868,7811653,200604,200533
aos_D32768,12658084,1978,1934,4036238,103038,102850,3011572,50608,50582
